Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"June 1, 2020","June 1, 2020",Run,311,4.0780937894400004,1616,6.604367990932952,3.179767656883799,9.08485953408,18.8692365312,,4220,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4355423164
"May 31, 2020","May 31, 2020",Bike Ride,303,11.79999988992,3726,5.263156913624433,0,11.39999743872,0,,,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4352335576
"May 30, 2020","May 30, 2020",Run,246,3.23769435264,1273,6.552980593334923,4.053080012725682,9.156105192959998,14.80356687744,,3326,b'Just me and the mad dogs (again); ankle OK ',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4348206826
"May 23, 2020","May 23, 2020",Run,333,4.370640341760001,1726,6.581812216654736,3.4981644694981306,9.116048620800001,17.1519055488,,4508,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4320665623
"May 21, 2020","May 21, 2020",Run,424,5.49187030656,2255,6.843471625705877,4.658680804104033,8.767512990719998,12.879177696000001,,5871,b'1 rabbit 1 squirrel',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4313276278
"May 19, 2020","May 19, 2020",Run,323,4.15619525376,1725,6.91741479758212,3.8855396981627295,8.673800889599999,15.441864894719998,,4487,b'Only mad dogs and me ',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4305881467
"May 17, 2020","May 17, 2020",Run,168,2.2258675929600003,868,6.499356259444842,4.56070299451205,9.2316799872,13.15587220992,,2270,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4298668570
"May 15, 2020","May 15, 2020",Run,429,5.60774307456,2241,6.660415672472759,3.237555177761871,9.00841569408,18.532561766399997,,5848,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4290540214
"May 13, 2020","May 13, 2020",Run,475,6.10099091712,2547,6.9578660621967705,3.1321147001511176,8.62329967488,19.1563435008,,6622,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4282286827
"May 11, 2020","May 11, 2020",Run,256,3.3761301235200003,1323,6.531170464487393,4.26011468026724,9.18674710272,14.08414182912,,3458,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4274540110
"May 10, 2020","May 10, 2020",Run,444,5.83074987264,2310,6.6029388371908055,2.8834295215938917,9.08687121408,20.8084960512,,6032,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4270207321
"May 8, 2020","May 8, 2020",Run,259,3.41811790848,1336,6.514269168058538,2.4088199912510935,9.210501020159999,24.9084608256,,3493,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4264075735
"May 7, 2020","May 7, 2020",Run,474,6.111532120320001,2527,6.891379344627376,3.5915503459794795,8.706567133439998,16.7059563264,,6575,"b'Hot, hot, hot'",Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4258976440
"May 5, 2020","May 5, 2020",Run,164,2.26050067584,783,5.773072755110157,4.34201140340412,10.393079178239999,13.818471321599999,,2069,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4250384125
"May 4, 2020","May 4, 2020",Run,332,4.4000269632,1704,6.4544932593653055,4.34774665950847,9.295844532479999,13.800253547519999,,4458,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4246968865
"May 2, 2020","May 2, 2020",Run,602,8.159084398080001,3810,7.782736319891831,3.817344209814682,7.70936931072,15.7177386432,,9822,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4237607128
"April 30, 2020","April 30, 2020",Run,322,4.245385098240001,1665,6.536514256740635,3.1411680784220155,9.1792153728,19.101143001599997,,4351,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4229651125
"April 29, 2020","April 29, 2020",Run,389,5.08208304384,2035,6.673775153105861,4.873557176091625,8.99042322816,12.31133675904,,5309,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4226146831
"April 27, 2020","April 27, 2020",Run,388,5.0387755968,2053,6.790655074365704,4.936968106259445,8.83563652224,12.15321871104,,5348,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4217549701
"April 25, 2020","April 25, 2020",Run,234,3.0721572288,1210,6.564351686152866,3.8963080609242025,9.140317528319999,15.399185091839998,,3161,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4210697158
"April 24, 2020","April 24, 2020",Run,310,4.09098463488,1595,6.498051379941143,3.0142965083909967,9.233562919679999,19.905171263999996,,4171,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4206031654
"April 22, 2020","April 22, 2020",Run,318,4.14805197312,1670,6.7100010936132986,4.241355483973594,8.9419176,14.146407348479999,,4355,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4199026084
"April 21, 2020","April 21, 2020",Run,328,4.31655028992,1698,6.5561495864153345,4.004227809591983,9.1516955904,14.984167461119998,,4437,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4193658127
"April 19, 2020","April 19, 2020",Run,174,2.3392458777600003,876,6.241300803308677,3.4902357730851827,9.61336810368,17.1908516736,,2299,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4186468807
"April 18, 2020","April 18, 2020",Run,503,6.512130028800001,2667,6.825700409607889,3.418349339855245,8.79028520832,17.552310335999998,,6945,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4182409609
"April 15, 2020","April 15, 2020",Run,352,4.58624415744,1845,6.704843712717728,1.800485166626899,8.948773405439999,33.3243643392,,4812,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4171605511
"April 14, 2020","April 14, 2020",Run,169,2.2611766003200002,847,6.243102779766165,4.801030730533683,9.610648312319999,12.497312551679999,,2222,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4169070946
"April 13, 2020","April 13, 2020",Run,208,2.79314525952,1043,6.22352958721069,4.363162878787878,9.640791325439999,13.751490424319998,,2737,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4164734755
"April 12, 2020","April 12, 2020",Run,329,4.26374771328,1738,6.793699793207668,4.037322039290543,8.831677535999999,14.8613262336,,4528,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4161067669
"April 10, 2020","April 10, 2020",Run,412,5.2856811532800005,2211,6.971660502664439,4.272417829873539,8.606272815359999,14.043570266879998,,5748,"b'Hot, first 5k of year'",Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4154141485
"April 9, 2020","April 9, 2020",Run,303,3.9298732070400004,1615,6.849250377793685,4.0715347371351305,8.76007782144,14.73645723264,,4204,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4151077555
"April 7, 2020","April 7, 2020",Run,227,3.0037440153600006,1170,6.491899805137994,4.356495565895172,9.24228556416,13.77254064384,,3060,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4142177200
"April 5, 2020","April 5, 2020",Run,173,2.3173105190400003,874,6.2860395291497655,4.49595611628092,9.54498707712,13.3453241856,,2292,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4136585791
"April 4, 2020","April 4, 2020",Run,209,2.6705937139200002,1129,7.045852223017577,4.32310929173626,8.51561846784,13.8789021888,,2933,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4133467978
"April 3, 2020","April 3, 2020",Run,294,3.82182185088,1550,6.75946224051539,4.254857879980912,8.87648167296,14.10152274432,,4040,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4130403373
"April 3, 2020","April 2, 2020",Run,236,3.1145634432000002,1215,6.501717469975343,4.553606935496699,9.22831645824,13.176375252479998,,3177,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4130284039
"April 1, 2020","April 1, 2020",Run,210,2.77178926464,1083,6.512032231766484,3.9223248727431796,9.21371970816,15.297056121599999,,2831,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4123519192
"March 31, 2020","March 31, 2020",Run,314,4.08924654336,1649,6.720875089477452,2.204606348922294,8.92740131712,27.2157773184,,4300,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4121309731
"March 29, 2020","March 29, 2020",Run,227,2.9789601177600002,1180,6.601882506164002,4.178752336355683,9.08833571712,14.358357953279999,,3081,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4115881321
